datetime,actual,prediction,residual,abs_error,hour,day,month,year,day_of_week,model
2022-07-02 16:00:00,16,15.464427923370753,0.5355720766292471,0.5355720766292471,16,2,7,2022,Saturday,SARIMA
2022-07-02 17:00:00,13,17.833903526202896,-4.833903526202896,4.833903526202896,17,2,7,2022,Saturday,SARIMA
2022-07-02 18:00:00,16,15.529670476413328,0.47032952358667224,0.47032952358667224,18,2,7,2022,Saturday,SARIMA
2022-07-02 19:00:00,19,14.316275059623326,4.683724940376674,4.683724940376674,19,2,7,2022,Saturday,SARIMA
2022-07-02 20:00:00,10,12.395907137065171,-2.395907137065171,2.395907137065171,20,2,7,2022,Saturday,SARIMA
2022-07-02 21:00:00,9,10.638716881509106,-1.6387168815091062,1.6387168815091062,21,2,7,2022,Saturday,SARIMA
2022-07-02 22:00:00,13,9.693026589855869,3.3069734101441313,3.3069734101441313,22,2,7,2022,Saturday,SARIMA
2022-07-02 23:00:00,9,8.791299288743218,0.2087007112567818,0.2087007112567818,23,2,7,2022,Saturday,SARIMA
2022-07-03 00:00:00,16,11.962034957949214,4.037965042050786,4.037965042050786,0,3,7,2022,Sunday,SARIMA
2022-07-03 01:00:00,4,6.856388990522922,-2.8563889905229223,2.8563889905229223,1,3,7,2022,Sunday,SARIMA
2022-07-03 02:00:00,8,5.6484593218473025,2.3515406781526975,2.3515406781526975,2,3,7,2022,Sunday,SARIMA
2022-07-03 03:00:00,14,5.301705329928221,8.698294670071778,8.698294670071778,3,3,7,2022,Sunday,SARIMA
2022-07-03 04:00:00,7,6.055200389184541,0.9447996108154593,0.9447996108154593,4,3,7,2022,Sunday,SARIMA
2022-07-03 05:00:00,13,6.089804482942167,6.910195517057833,6.910195517057833,5,3,7,2022,Sunday,SARIMA
2022-07-03 06:00:00,7,7.995070008114178,-0.9950700081141779,0.9950700081141779,6,3,7,2022,Sunday,SARIMA
2022-07-03 07:00:00,5,9.634688132692228,-4.634688132692228,4.634688132692228,7,3,7,2022,Sunday,SARIMA
2022-07-03 08:00:00,8,13.735099571812786,-5.7350995718127855,5.7350995718127855,8,3,7,2022,Sunday,SARIMA
2022-07-03 09:00:00,4,11.987755156597673,-7.987755156597673,7.987755156597673,9,3,7,2022,Sunday,SARIMA
2022-07-03 10:00:00,2,11.079269377411684,-9.079269377411684,9.079269377411684,10,3,7,2022,Sunday,SARIMA
2022-07-03 11:00:00,9,12.260775851253854,-3.260775851253854,3.260775851253854,11,3,7,2022,Sunday,SARIMA
2022-07-03 12:00:00,8,13.943217841123255,-5.943217841123255,5.943217841123255,12,3,7,2022,Sunday,SARIMA
2022-07-03 13:00:00,12,13.350407241686046,-1.350407241686046,1.350407241686046,13,3,7,2022,Sunday,SARIMA
2022-07-03 14:00:00,19,15.190152206210175,3.8098477937898245,3.8098477937898245,14,3,7,2022,Sunday,SARIMA
2022-07-03 15:00:00,13,15.49551165255872,-2.4955116525587204,2.4955116525587204,15,3,7,2022,Sunday,SARIMA
2022-07-03 16:00:00,13,15.464427923370753,-2.464427923370753,2.464427923370753,16,3,7,2022,Sunday,SARIMA
2022-07-03 17:00:00,10,17.833903526202896,-7.833903526202896,7.833903526202896,17,3,7,2022,Sunday,SARIMA
2022-07-03 18:00:00,13,15.529670476413328,-2.5296704764133278,2.5296704764133278,18,3,7,2022,Sunday,SARIMA
2022-07-03 19:00:00,15,14.316275059623326,0.6837249403766741,0.6837249403766741,19,3,7,2022,Sunday,SARIMA
2022-07-03 20:00:00,10,12.395907137065171,-2.395907137065171,2.395907137065171,20,3,7,2022,Sunday,SARIMA
2022-07-03 21:00:00,10,10.638716881509106,-0.6387168815091062,0.6387168815091062,21,3,7,2022,Sunday,SARIMA
2022-07-03 22:00:00,8,9.693026589855869,-1.6930265898558687,1.6930265898558687,22,3,7,2022,Sunday,SARIMA
2022-07-03 23:00:00,7,8.791299288743218,-1.7912992887432182,1.7912992887432182,23,3,7,2022,Sunday,SARIMA
2022-07-04 00:00:00,15,11.962034957949214,3.0379650420507858,3.0379650420507858,0,4,7,2022,Monday,SARIMA
2022-07-04 01:00:00,10,6.856388990522922,3.1436110094770777,3.1436110094770777,1,4,7,2022,Monday,SARIMA
2022-07-04 02:00:00,9,5.6484593218473025,3.3515406781526975,3.3515406781526975,2,4,7,2022,Monday,SARIMA
2022-07-04 03:00:00,9,5.301705329928221,3.698294670071779,3.698294670071779,3,4,7,2022,Monday,SARIMA
2022-07-04 04:00:00,9,6.055200389184541,2.9447996108154593,2.9447996108154593,4,4,7,2022,Monday,SARIMA
2022-07-04 05:00:00,6,6.089804482942167,-0.08980448294216714,0.08980448294216714,5,4,7,2022,Monday,SARIMA
2022-07-04 06:00:00,7,7.995070008114178,-0.9950700081141779,0.9950700081141779,6,4,7,2022,Monday,SARIMA
2022-07-04 07:00:00,5,9.634688132692228,-4.634688132692228,4.634688132692228,7,4,7,2022,Monday,SARIMA
2022-07-04 08:00:00,5,13.735099571812786,-8.735099571812786,8.735099571812786,8,4,7,2022,Monday,SARIMA
2022-07-04 09:00:00,5,11.987755156597673,-6.987755156597673,6.987755156597673,9,4,7,2022,Monday,SARIMA
2022-07-04 10:00:00,4,11.079269377411684,-7.079269377411684,7.079269377411684,10,4,7,2022,Monday,SARIMA
2022-07-04 11:00:00,7,12.260775851253854,-5.260775851253854,5.260775851253854,11,4,7,2022,Monday,SARIMA
2022-07-04 12:00:00,14,13.943217841123255,0.05678215887674476,0.05678215887674476,12,4,7,2022,Monday,SARIMA
2022-07-04 13:00:00,4,13.350407241686046,-9.350407241686046,9.350407241686046,13,4,7,2022,Monday,SARIMA
2022-07-04 14:00:00,8,15.190152206210175,-7.1901522062101755,7.1901522062101755,14,4,7,2022,Monday,SARIMA
2022-07-04 15:00:00,10,15.49551165255872,-5.49551165255872,5.49551165255872,15,4,7,2022,Monday,SARIMA
2022-07-04 16:00:00,16,15.464427923370753,0.5355720766292471,0.5355720766292471,16,4,7,2022,Monday,SARIMA
2022-07-04 17:00:00,17,17.833903526202896,-0.8339035262028958,0.8339035262028958,17,4,7,2022,Monday,SARIMA
2022-07-04 18:00:00,10,15.529670476413328,-5.529670476413328,5.529670476413328,18,4,7,2022,Monday,SARIMA
2022-07-04 19:00:00,17,14.316275059623326,2.683724940376674,2.683724940376674,19,4,7,2022,Monday,SARIMA
2022-07-04 20:00:00,10,12.395907137065171,-2.395907137065171,2.395907137065171,20,4,7,2022,Monday,SARIMA
2022-07-04 21:00:00,12,10.638716881509106,1.3612831184908938,1.3612831184908938,21,4,7,2022,Monday,SARIMA
2022-07-04 22:00:00,17,9.693026589855869,7.306973410144131,7.306973410144131,22,4,7,2022,Monday,SARIMA
2022-07-04 23:00:00,16,8.791299288743218,7.208700711256782,7.208700711256782,23,4,7,2022,Monday,SARIMA
2022-07-05 00:00:00,15,11.962034957949214,3.0379650420507858,3.0379650420507858,0,5,7,2022,Tuesday,SARIMA
2022-07-05 01:00:00,9,6.856388990522922,2.1436110094770777,2.1436110094770777,1,5,7,2022,Tuesday,SARIMA
2022-07-05 02:00:00,12,5.6484593218473025,6.3515406781526975,6.3515406781526975,2,5,7,2022,Tuesday,SARIMA
2022-07-05 03:00:00,9,5.301705329928221,3.698294670071779,3.698294670071779,3,5,7,2022,Tuesday,SARIMA
2022-07-05 04:00:00,8,6.055200389184541,1.9447996108154593,1.9447996108154593,4,5,7,2022,Tuesday,SARIMA
2022-07-05 05:00:00,10,6.089804482942167,3.910195517057833,3.910195517057833,5,5,7,2022,Tuesday,SARIMA
2022-07-05 06:00:00,8,7.995070008114178,0.004929991885822105,0.004929991885822105,6,5,7,2022,Tuesday,SARIMA
2022-07-05 07:00:00,7,9.634688132692228,-2.6346881326922276,2.6346881326922276,7,5,7,2022,Tuesday,SARIMA
2022-07-05 08:00:00,17,13.735099571812786,3.2649004281872145,3.2649004281872145,8,5,7,2022,Tuesday,SARIMA
2022-07-05 09:00:00,9,11.987755156597673,-2.9877551565976734,2.9877551565976734,9,5,7,2022,Tuesday,SARIMA
2022-07-05 10:00:00,14,11.079269377411684,2.920730622588316,2.920730622588316,10,5,7,2022,Tuesday,SARIMA
2022-07-05 11:00:00,11,12.260775851253854,-1.2607758512538538,1.2607758512538538,11,5,7,2022,Tuesday,SARIMA
2022-07-05 12:00:00,21,13.943217841123255,7.056782158876745,7.056782158876745,12,5,7,2022,Tuesday,SARIMA
2022-07-05 13:00:00,22,13.350407241686046,8.649592758313954,8.649592758313954,13,5,7,2022,Tuesday,SARIMA
2022-07-05 14:00:00,13,15.190152206210175,-2.1901522062101755,2.1901522062101755,14,5,7,2022,Tuesday,SARIMA
2022-07-05 15:00:00,12,15.49551165255872,-3.4955116525587204,3.4955116525587204,15,5,7,2022,Tuesday,SARIMA
2022-07-05 16:00:00,12,15.464427923370753,-3.464427923370753,3.464427923370753,16,5,7,2022,Tuesday,SARIMA
2022-07-05 17:00:00,9,17.833903526202896,-8.833903526202896,8.833903526202896,17,5,7,2022,Tuesday,SARIMA
2022-07-05 18:00:00,6,15.529670476413328,-9.529670476413328,9.529670476413328,18,5,7,2022,Tuesday,SARIMA
2022-07-05 19:00:00,7,14.316275059623326,-7.316275059623326,7.316275059623326,19,5,7,2022,Tuesday,SARIMA
2022-07-05 20:00:00,14,12.395907137065171,1.604092862934829,1.604092862934829,20,5,7,2022,Tuesday,SARIMA
2022-07-05 21:00:00,6,10.638716881509106,-4.638716881509106,4.638716881509106,21,5,7,2022,Tuesday,SARIMA
2022-07-05 22:00:00,6,9.693026589855869,-3.6930265898558687,3.6930265898558687,22,5,7,2022,Tuesday,SARIMA
2022-07-05 23:00:00,11,8.791299288743218,2.208700711256782,2.208700711256782,23,5,7,2022,Tuesday,SARIMA
2022-07-06 00:00:00,13,11.962034957949214,1.0379650420507858,1.0379650420507858,0,6,7,2022,Wednesday,SARIMA
2022-07-06 01:00:00,4,6.856388990522922,-2.8563889905229223,2.8563889905229223,1,6,7,2022,Wednesday,SARIMA
2022-07-06 02:00:00,0,5.6484593218473025,-5.6484593218473025,5.6484593218473025,2,6,7,2022,Wednesday,SARIMA
2022-07-06 03:00:00,3,5.301705329928221,-2.301705329928221,2.301705329928221,3,6,7,2022,Wednesday,SARIMA
2022-07-06 04:00:00,4,6.055200389184541,-2.0552003891845407,2.0552003891845407,4,6,7,2022,Wednesday,SARIMA
2022-07-06 05:00:00,2,6.089804482942167,-4.089804482942167,4.089804482942167,5,6,7,2022,Wednesday,SARIMA
2022-07-06 06:00:00,4,7.995070008114178,-3.995070008114178,3.995070008114178,6,6,7,2022,Wednesday,SARIMA
2022-07-06 07:00:00,3,9.634688132692228,-6.634688132692228,6.634688132692228,7,6,7,2022,Wednesday,SARIMA
2022-07-06 08:00:00,13,13.735099571812786,-0.7350995718127855,0.7350995718127855,8,6,7,2022,Wednesday,SARIMA
2022-07-06 09:00:00,13,11.987755156597673,1.0122448434023266,1.0122448434023266,9,6,7,2022,Wednesday,SARIMA
2022-07-06 10:00:00,14,11.079269377411684,2.920730622588316,2.920730622588316,10,6,7,2022,Wednesday,SARIMA
2022-07-06 11:00:00,12,12.260775851253854,-0.26077585125385383,0.26077585125385383,11,6,7,2022,Wednesday,SARIMA
2022-07-06 12:00:00,16,13.943217841123255,2.0567821588767448,2.0567821588767448,12,6,7,2022,Wednesday,SARIMA
2022-07-06 13:00:00,14,13.350407241686046,0.649592758313954,0.649592758313954,13,6,7,2022,Wednesday,SARIMA
2022-07-06 14:00:00,14,15.190152206210175,-1.1901522062101755,1.1901522062101755,14,6,7,2022,Wednesday,SARIMA
2022-07-06 15:00:00,21,15.49551165255872,5.50448834744128,5.50448834744128,15,6,7,2022,Wednesday,SARIMA
2022-07-06 16:00:00,18,15.464427923370753,2.535572076629247,2.535572076629247,16,6,7,2022,Wednesday,SARIMA
2022-07-06 17:00:00,19,17.833903526202896,1.1660964737971042,1.1660964737971042,17,6,7,2022,Wednesday,SARIMA
2022-07-06 18:00:00,19,15.529670476413328,3.4703295235866722,3.4703295235866722,18,6,7,2022,Wednesday,SARIMA
2022-07-06 19:00:00,17,14.316275059623326,2.683724940376674,2.683724940376674,19,6,7,2022,Wednesday,SARIMA
2022-07-06 20:00:00,7,12.395907137065171,-5.395907137065171,5.395907137065171,20,6,7,2022,Wednesday,SARIMA
2022-07-06 21:00:00,13,10.638716881509106,2.361283118490894,2.361283118490894,21,6,7,2022,Wednesday,SARIMA
2022-07-06 22:00:00,15,9.693026589855869,5.306973410144131,5.306973410144131,22,6,7,2022,Wednesday,SARIMA
2022-07-06 23:00:00,9,8.791299288743218,0.2087007112567818,0.2087007112567818,23,6,7,2022,Wednesday,SARIMA
2022-07-07 00:00:00,13,11.962034957949214,1.0379650420507858,1.0379650420507858,0,7,7,2022,Thursday,SARIMA
2022-07-07 01:00:00,8,6.856388990522922,1.1436110094770777,1.1436110094770777,1,7,7,2022,Thursday,SARIMA
2022-07-07 02:00:00,2,5.6484593218473025,-3.6484593218473025,3.6484593218473025,2,7,7,2022,Thursday,SARIMA
2022-07-07 03:00:00,4,5.301705329928221,-1.3017053299282209,1.3017053299282209,3,7,7,2022,Thursday,SARIMA
2022-07-07 04:00:00,2,6.055200389184541,-4.055200389184541,4.055200389184541,4,7,7,2022,Thursday,SARIMA
2022-07-07 05:00:00,5,6.089804482942167,-1.0898044829421671,1.0898044829421671,5,7,7,2022,Thursday,SARIMA
2022-07-07 06:00:00,1,7.995070008114178,-6.995070008114178,6.995070008114178,6,7,7,2022,Thursday,SARIMA
2022-07-07 07:00:00,2,9.634688132692228,-7.634688132692228,7.634688132692228,7,7,7,2022,Thursday,SARIMA
2022-07-07 08:00:00,9,13.735099571812786,-4.7350995718127855,4.7350995718127855,8,7,7,2022,Thursday,SARIMA
2022-07-07 09:00:00,17,11.987755156597673,5.012244843402327,5.012244843402327,9,7,7,2022,Thursday,SARIMA
2022-07-07 10:00:00,5,11.079269377411684,-6.079269377411684,6.079269377411684,10,7,7,2022,Thursday,SARIMA
2022-07-07 11:00:00,16,12.260775851253854,3.739224148746146,3.739224148746146,11,7,7,2022,Thursday,SARIMA
2022-07-07 12:00:00,10,13.943217841123255,-3.9432178411232552,3.9432178411232552,12,7,7,2022,Thursday,SARIMA
2022-07-07 13:00:00,14,13.350407241686046,0.649592758313954,0.649592758313954,13,7,7,2022,Thursday,SARIMA
